record_date,bid_to_cover_ratio_bills,bid_to_cover_ratio_long,bid_to_cover_ratio_medium,bid_to_cover_ratio_short,offering_amt_bills,offering_amt_long,offering_amt_medium,offering_amt_short,total_accepted_bills,total_accepted_long,total_accepted_medium,total_accepted_short,total_tendered_bills,total_tendered_long,total_tendered_medium,total_tendered_short,comp_accepted_bills,comp_accepted_long,comp_accepted_medium,comp_accepted_short,comp_tendered_bills,comp_tendered_long,comp_tendered_medium,comp_tendered_short,primary_dealer_accepted_bills,primary_dealer_accepted_long,primary_dealer_accepted_medium,primary_dealer_accepted_short,primary_dealer_tendered_bills,primary_dealer_tendered_long,primary_dealer_tendered_medium,primary_dealer_tendered_short,indirect_bidder_accepted_bills,indirect_bidder_accepted_long,indirect_bidder_accepted_medium,indirect_bidder_accepted_short,indirect_bidder_tendered_bills,indirect_bidder_tendered_long,indirect_bidder_tendered_medium,indirect_bidder_tendered_short,direct_bidder_accepted_bills,direct_bidder_accepted_long,direct_bidder_accepted_medium,direct_bidder_accepted_short,direct_bidder_tendered_bills,direct_bidder_tendered_long,direct_bidder_tendered_medium,direct_bidder_tendered_short
1981-08,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4270000000.0,2125000000.0,4250000000.0,4750000000.0,4270786500.0,2552771000.0,5674635000.0,5326645000.0,8521414000.0,5530303500.0,13649060000.0,10687615000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-09,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4295454545.454545,2125000000.0,3250000000.0,4750000000.0,4297790000.0,2552771000.0,3692302500.0,5150705000.0,8700253636.363636,5530303500.0,7418085500.0,8880935000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-10,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4581818181.818182,1750000000.0,3000000000.0,4750000000.0,4604017727.272727,1751063000.0,3467956000.0,5150705000.0,9394051363.636364,3160398000.0,7066351000.0,8880935000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-11,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4733333333.333333,2125000000.0,4500000000.0,4750000000.0,4735150555.555555,2598912000.0,6168565000.0,5458085000.0,9454540555.555555,5379795000.0,11103760000.0,10301602500.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-12,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4475000000.0,2125000000.0,3250000000.0,4750000000.0,4489473571.428572,2598912000.0,3414415500.0,5352110000.0,8983648928.571428,5379795000.0,8034023000.0,8435630000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1982-01,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4765000000.0,1750000000.0,3250000000.0,4750000000.0,4766096500.0,1750105000.0,3500405000.0,5352110000.0,10645490000.0,4847480000.0,6330785000.0,8435630000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1982-02,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,5005555555.555555,2500000000.0,5000000000.0,5250000000.0,5008031111.111111,2687799500.0,5806925000.0,6043555000.0,10517125555.555555,5884282000.0,11318150000.0,12809990000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1982-03,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4850000000.0,2500000000.0,3500000000.0,5250000000.0,4852641666.666667,2687799500.0,3845735000.0,5960772500.0,10866661666.666666,5884282000.0,7732502500.0,10286730000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1982-04,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,5020833333.333333,2500000000.0,3250000000.0,5250000000.0,5024378750.0,2687799500.0,3328203000.0,5777180000.0,13792852916.666666,5884282000.0,6216978000.0,11088395000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1982-05,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4850000000.0,4000000000.0,5250000000.0,5250000000.0,4886039444.444445,4942336000.0,6854180000.0,5777180000.0,14061170555.555555,9203628000.0,14189705000.0,11088395000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
